Mark Stevens,ms_01,"Apple MacBook Air M2 (Midnight, 256 GB)",MACBOOK_AIR_M2,5,Incredible battery and silent performance,The M2 chip is remarkably efficient. I get an easy 14 to 16 hours of real-world battery life on a single charge. The fanless design means it is completely silent even during compiling.,54,58,14-Aug-23
Claire Zhao,cz_02,"Apple MacBook Air M2 (Midnight, 256 GB)",MACBOOK_AIR_M2,5,Best ultrabook display and trackpad,Liquid retina screen is bright and razor sharp for photo editing. MagSafe charging is great to have back. Keyboard has good travel and trackpad is unbeatable.,42,45,18-Aug-23
Ethan Brooks,eb_03,"Apple MacBook Air M2 (Midnight, 256 GB)",MACBOOK_AIR_M2,4,Great travel machine,"Thin, lightweight unibody aluminum casing feels solid. Speakers are surprisingly punchy for such a thin laptop. Performance for web development is buttery smooth.",28,30,22-Aug-23
Sophia Martinez,sm_04,"Apple MacBook Air M2 (Midnight, 256 GB)",MACBOOK_AIR_M2,5,Outstanding build and battery,"Battery life has completely changed how I work away from a desk. Fast boot, great webcam clarity, and premium midnight color finish.",33,35,25-Aug-23
Gregory Bell,gb_05,"Apple MacBook Air M2 (Midnight, 256 GB)",MACBOOK_AIR_M2,2,Severe thermal throttling when exporting 4K,"Because there is no fan, the chassis reaches high temperatures and the CPU throttles performance by up to 35% during long video renders. Definitely not for sustained heavy workloads.",61,65,02-Sep-23
Nathan Scott,ns_06,"Apple MacBook Air M2 (Midnight, 256 GB)",MACBOOK_AIR_M2,3,Throttles under heavy gaming or render,"For light tasks it stays cool, but any heavy gaming or Blender render makes the bottom plate uncomfortable to keep on your lap due to heat buildup.",40,44,05-Sep-23
Lucas Wright,lw_07,"Apple MacBook Air M2 (Midnight, 256 GB)",MACBOOK_AIR_M2,4,Thermal throttling is exaggerated for regular users,"Unless you run synthetic stress benchmarks for an hour, it barely gets warm. For normal coding, browsing, and office apps it stays completely cool.",29,32,08-Sep-23
Arthur Dent,ad_08,"Apple MacBook Air M2 (Midnight, 256 GB)",MACBOOK_AIR_M2,1,MagSafe adapter sparks and scorching smell,The included dual-port charger sparked loudly upon plugging into the wall socket and emitted a harsh smoke odor. Burn marks visible on the prong. Dangerous electrical hazard.,78,82,12-Sep-23
Hannah Cole,hc_09,"Apple MacBook Air M2 (Midnight, 256 GB)",MACBOOK_AIR_M2,1,Battery swelling warped bottom case,"After 8 months, the internal battery swelling caused the trackpad to stop clicking and bent the bottom aluminum casing. Had to take it in for emergency battery replacement.",65,70,16-Sep-23
Victor Vance,vv_10,"Apple MacBook Air M2 (Midnight, 256 GB)",MACBOOK_AIR_M2,1,Extreme overheating while fast charging,Laptop overheats to an alarming degree when charging from 10% battery with 67W brick. Aluminum palm rest becomes too hot to touch. Shut down automatically with thermal warning.,58,62,20-Sep-23
William 11,mac_user_11,"Apple MacBook Air M2 (Midnight, 256 GB)",MACBOOK_AIR_M2,2,Heats up during heavy usage,"Lacks active cooling, so performance drops slightly under sustained heavy loads.",15,8,1-Oct-23
Noah 58,mac_user_12,"Apple MacBook Air M2 (Midnight, 256 GB)",MACBOOK_AIR_M2,4,Battery lasts two days,Battery backup easily lasts 15 hours. The display is bright and colors are very accurate.,11,19,8-Oct-23
Ava 24,mac_user_13,"Apple MacBook Air M2 (Midnight, 256 GB)",MACBOOK_AIR_M2,4,Crisp display,"Lightweight, slim, and fast. MagSafe charging cable is super convenient.",1,3,8-Oct-23
Isabella 27,mac_user_14,"Apple MacBook Air M2 (Midnight, 256 GB)",MACBOOK_AIR_M2,5,Battery lasts two days,"Lightweight, slim, and fast. MagSafe charging cable is super convenient.",19,11,1-Oct-23
Harper 11,mac_user_15,"Apple MacBook Air M2 (Midnight, 256 GB)",MACBOOK_AIR_M2,4,Super fast and silent,"Lightweight, slim, and fast. MagSafe charging cable is super convenient.",5,14,17-Oct-23
Liam 76,mac_user_16,"Apple MacBook Air M2 (Midnight, 256 GB)",MACBOOK_AIR_M2,4,Best laptop ever,"Lightweight, slim, and fast. MagSafe charging cable is super convenient.",14,6,4-Oct-23
James 18,mac_user_17,"Apple MacBook Air M2 (Midnight, 256 GB)",MACBOOK_AIR_M2,5,Battery lasts two days,"Lightweight, slim, and fast. MagSafe charging cable is super convenient.",12,23,24-Oct-23
Noah 48,mac_user_18,"Apple MacBook Air M2 (Midnight, 256 GB)",MACBOOK_AIR_M2,4,Crisp display,Premium aluminum build quality. Trackpad and keyboard feel great to type on.,20,14,19-Oct-23
Isabella 46,mac_user_19,"Apple MacBook Air M2 (Midnight, 256 GB)",MACBOOK_AIR_M2,5,Crisp display,Silent fanless operation is amazing. M2 performance is snappy for daily multitasking.,9,11,7-Oct-23
Ava 57,mac_user_20,"Apple MacBook Air M2 (Midnight, 256 GB)",MACBOOK_AIR_M2,2,Heats up during heavy usage,"Lacks active cooling, so performance drops slightly under sustained heavy loads.",8,21,19-Oct-23
Noah 69,mac_user_21,"Apple MacBook Air M2 (Midnight, 256 GB)",MACBOOK_AIR_M2,4,Best laptop ever,"Lightweight, slim, and fast. MagSafe charging cable is super convenient.",16,14,9-Oct-23
Harper 42,mac_user_22,"Apple MacBook Air M2 (Midnight, 256 GB)",MACBOOK_AIR_M2,5,Battery lasts two days,Silent fanless operation is amazing. M2 performance is snappy for daily multitasking.,14,16,23-Oct-23
